 1.58489319e+03  2.14797135e-02 -1.67435272e-08  1.58489319e+03  2.14796110e-02 -1.47075174e-05  1.58489319e+03  2.14798164e-02  1.46740242e-05 
 1.99526231e+03  2.14797134e-02 -2.10782495e-08  1.99526231e+03  2.14795510e-02 -1.85151405e-05  1.99526231e+03  2.14798765e-02  1.84729717e-05 
 2.51188643e+03  2.14797133e-02 -2.65347419e-08  2.51188643e+03  2.14794559e-02 -2.33081296e-05  2.51188643e+03  2.14799718e-02  2.32550355e-05 
 3.16227766e+03  2.14797131e-02 -3.34028630e-08  3.16227766e+03  2.14793052e-02 -2.93410993e-05  3.16227766e+03  2.14801228e-02  2.92742446e-05 
 3.98107171e+03  2.14797129e-02 -4.20469294e-08  3.98107171e+03  2.14790664e-02 -3.69340716e-05  3.98107171e+03  2.14803621e-02  3.68498800e-05 
 5.01187234e+03  2.14797124e-02 -5.29244061e-08  5.01187234e+03  2.14786881e-02 -4.64888957e-05  5.01187234e+03  2.14807412e-02  4.63828520e-05 
 6.30957344e+03  2.14797118e-02 -6.66088502e-08  6.30957344e+03  2.14780888e-02 -5.85094083e-05  6.30957344e+03  2.14813417e-02  5.83758020e-05 
 7.94328235e+03  2.14797107e-02 -8.38176332e-08  7.94328235e+03  2.14771396e-02 -7.36257963e-05  7.94328235e+03  2.14822928e-02  7.34573865e-05 
 1.00000000e+04  2.14797090e-02 -1.05444535e-07  1.00000000e+04  2.14756370e-02 -9.26232511e-05  1.00000000e+04  2.14837984e-02  9.24108187e-05 
 1.25892541e+04  2.14797062e-02 -1.32596215e-07  1.25892541e+04  2.14732599e-02 -1.16474051e-04  1.25892541e+04  2.14861802e-02  1.16205787e-04 
 1.58489319e+04  2.14797020e-02 -1.66629158e-07  1.58489319e+04  2.14695034e-02 -1.46370106e-04  1.58489319e+04  2.14899440e-02  1.46030740e-04 
 1.99526231e+04  2.14796952e-02 -2.09178692e-07  1.99526231e+04  2.14635772e-02 -1.83748623e-04  1.99526231e+04  2.14958815e-02  1.83318147e-04 
 2.51188643e+04  2.14796846e-02 -2.62161878e-07  2.51188643e+04  2.14542531e-02 -2.30294976e-04  2.51188643e+04  2.15052228e-02  2.29746690e-04 
 3.16227766e+04  2.14796679e-02 -3.27717855e-07  3.16227766e+04  2.14396445e-02 -2.87890938e-04  3.16227766e+04  2.15198570e-02  2.87188361e-04 
 3.98107171e+04  2.14796420e-02 -4.08018056e-07  3.98107171e+04  2.14169064e-02 -3.58449066e-04  3.98107171e+04  2.15426314e-02  3.57541036e-04 
 5.01187234e+04  2.14796020e-02 -5.04832146e-07  5.01187234e+04  2.13818754e-02 -4.43533227e-04  5.01187234e+04  2.15777100e-02  4.42346269e-04 
 6.30957344e+04  2.14795414e-02 -6.18686018e-07  6.30957344e+04  2.13287477e-02 -5.43621476e-04  6.30957344e+04  2.16308907e-02  5.42048875e-04 
 7.94328235e+04  2.14794517e-02 -7.47453160e-07  7.94328235e+04  2.12500658e-02 -6.56871012e-04  7.94328235e+04  2.17096088e-02  6.54760122e-04 
 1.00000000e+05  2.14793235e-02 -8.84430570e-07  1.00000000e+05  2.11375437e-02 -7.77427101e-04  1.00000000e+05  2.18220947e-02  7.74572494e-04 
 1.25892541e+05  2.14791491e-02 -1.01659295e-06  1.25892541e+05  2.09844220e-02 -8.93879172e-04  1.25892541e+05  2.19750009e-02  8.90040081e-04 
